category,title,local,date,link
Gastronomia,FESTIVAL BRASILEIRO DA CERVEJA,"Expocentro Balneário Camboriú - Santa Catarina - Balneário Camboriú, SC","Quinta, 13 de Mar às 19:00",https://www.sympla.com.br/evento/festival-brasileiro-da-cerveja/2495886
Gastronomia,CHAVE DO MESTRE,"Cervejaria Bohemia - Petrópolis, RJ",01 de Dez a 09 de Fev,https://bileto.sympla.com.br/event/101080
Gastronomia,HARMONIZA,"Cervejaria Bohemia - Petrópolis, RJ",01 de Dez a 09 de Fev,https://bileto.sympla.com.br/event/101075
Gastronomia,Curso de Gastronomia no Bunkyo - Comida de raiz japonesa,"Sociedade Brasileira de Cultura Japonesa - São Paulo, SP","Quinta, 27 de Fev às 09:00",https://www.sympla.com.br/evento/curso-de-gastronomia-no-bunkyo-comida-de-raiz-japonesa/2791192
Gastronomia,Workshop Exclusivo de Queijos e Vinhos - Café & Vinho com Cura Queijaria,"Café & Vinho - Belo Horizonte, MG","Quinta, 30 de Jan às 19:00",https://www.sympla.com.br/evento/workshop-exclusivo-de-queijos-e-vinhos-cafe-vinho-com-cura-queijaria/2785940
Gastronomia,SABORES ESPANHOIS ,"Supermercado Zona Sul - Santa Mônica - Rio de Janeiro, RJ","Sexta, 14 de Fev às 19:00",https://www.sympla.com.br/evento/sabores-espanhois/2785902
Gastronomia,Workshop Ceviche e Vinhos 2025,"Av. Pedroso de Morais, 1047 - São Paulo, SP","Quarta, 29 de Jan às 19:00",https://www.sympla.com.br/evento/workshop-ceviche-e-vinhos-2025/2765462
Gastronomia,Por aqui na Cinelândia + Casa Cavé,"Theatro Municipal do Rio de Janeiro - Rio de Janeiro, RJ","Sábado, 01 de Fev às 09:00",https://www.sympla.com.br/evento/por-aqui-na-cinelandia-casa-cave/2784871
Gastronomia,FESTIVAL BRASILEIRO DA CERVEJA,"Expocentro Balneário Camboriú - Santa Catarina - Balneário Camboriú, SC","Quarta, 12 de Mar às 19:00",https://www.sympla.com.br/evento/festival-brasileiro-da-cerveja/2491540
Gastronomia,Sabores de Verão pelo Mundo,"Supermercado Zona Sul - Santa Mônica - Rio de Janeiro, RJ","Quinta, 13 de Fev às 19:00",https://www.sympla.com.br/evento/sabores-de-verao-pelo-mundo/2800878
Gastronomia,BILEYI YA POKUA - Jantar Africano,"R. Maria Saraíva, 30 - Vitória, ES","Sexta, 14 de Fev às 18:00",https://www.sympla.com.br/evento/bileyi-ya-pokua-jantar-africano/2792303
Gastronomia,Ovos de páscoa criativos,"Instituto Mix  - Santa Maria, RS","Sábado, 01 de Fev às 13:00",https://www.sympla.com.br/evento/ovos-de-pascoa-criativos/2798114
Gastronomia,Iniciação ao Vinho 3°Edição by Vinteria Adega,"LayBack Park  & Bar do Lopes - Nova Lima, MG","Terça, 28 de Jan às 19:00",https://www.sympla.com.br/evento/iniciacao-ao-vinho-3degedicao-by-vinteria-adega/2797091
Gastronomia,Churrasquin da Funghi,"Backstage Ahoy - Blumenau, SC","Domingo, 02 de Fev às 16:00",https://www.sympla.com.br/evento/churrasquin-da-funghi/2798097
Gastronomia,DJAMBI na Cervejaria Hirt - Verão é na Hirt,"Marginal Rodovia Br277, 3210 - Curitiba, PR","Sábado, 08 de Fev às 17:00",https://www.sympla.com.br/evento/djambi-na-cervejaria-hirt-verao-e-na-hirt/2805701
Gastronomia,Curso Básico de Produção de Cerveja - Fevereiro/25 - Domingo de 09:00 às 17:00,"Sampler Brew House - Petrópolis, RJ","Domingo, 23 de Fev às 09:00",https://www.sympla.com.br/evento/curso-basico-de-producao-de-cerveja-fevereiro-25-domingo-de-09-00-as-17-00/2765302
Gastronomia,Curso Iniciante de Produção de Cerveja Caseira/TURMA 6,"Cervejaria Garimpero - Campinas, SP","Domingo, 30 de Mar às 09:00",https://www.sympla.com.br/evento/curso-iniciante-de-producao-de-cerveja-caseira-turma-6/2790002
Gastronomia,Domingo Brazuca na Permita Ser 23/02,"Restaurante Permita Ser - Blumenau, SC","Domingo, 23 de Fev às 11:00",https://www.sympla.com.br/evento/domingo-brazuca-na-permita-ser-23-02/2804730
Gastronomia,Minelis Coffee Experience - 08/03 - Tarde,"Fazenda Novo Horizonte - Café Minelis - Brasília, DF","Sábado, 08 de Mar às 14:30",https://www.sympla.com.br/evento/minelis-coffee-experience-08-03-tarde/2762468
Gastronomia,CHÁ DAS PRINCESAS,"Le Petit Café - São Paulo, SP","Sábado, 22 de Fev às 08:00",https://www.sympla.com.br/evento/cha-das-princesas/2781391
Gastronomia,Curso de Pizzas - 22/fevereiro,"Onze Zero Um - Porto Alegre, RS","Sábado, 22 de Fev às 12:00",https://www.sympla.com.br/evento/curso-de-pizzas-22-fevereiro/2771400
Gastronomia,Curso de Pizzas - 20/fevereiro,"Onze Zero Um - Porto Alegre, RS","Quinta, 20 de Fev às 19:30",https://www.sympla.com.br/evento/curso-de-pizzas-20-fevereiro/2771398
Gastronomia,Deodora Games 2025,"Aviv Beach Club - Maceió, AL","Sábado, 22 de Mar às 08:00",https://www.sympla.com.br/evento/deodora-games-2025/2806483
Gastronomia,Sabores Refrescantes de Verão: Salada Asiática e Tartar de Salmão,"Zona Sul Supermercado Ipanema - Rio de Janeiro, RJ","Terça, 11 de Fev às 19:00",https://www.sympla.com.br/evento/sabores-refrescantes-de-verao-salada-asiatica-e-tartar-de-salmao/2800896
Gastronomia,Introdução ao mundo dos drinks - coquetelaria para iniciantes (27/fevereiro),"Onze Zero Um - Porto Alegre, RS","Quinta, 27 de Fev às 19:30",https://www.sympla.com.br/evento/introducao-ao-mundo-dos-drinks-coquetelaria-para-iniciantes-27-fevereiro/2797295
Gastronomia,40ª Festa do Yakisoba,"Associação Centro Cultural Esportiva de Mogi das Cruzes - Mogi das Cruzes, SP","Sábado, 22 de Fev às 12:00",https://www.sympla.com.br/evento/40a-festa-do-yakisoba/2769405
Gastronomia,Curso de Vinhos para Mulheres        ,"La Mia Cucina - Escola de Gastronomia & Eventos Personalizados - Curitiba, PR","Terça, 04 de Fev às 19:30",https://www.sympla.com.br/evento/curso-de-vinhos-para-mulheres/2798276
Gastronomia,Encontro Exclusivo: Vinhos & Arte - Pintura na Taça,"Café e Vinho - Rio de Janeiro, RJ","Quarta, 05 de Fev às 19:30",https://www.sympla.com.br/evento/encontro-exclusivo-vinhos-arte-pintura-na-taca/2790652
Gastronomia,Curso de Capacitação: Guardiões de Sementes Tradicionais com Thiago Luiz,"Horta Madalena - São Paulo, SP","Domingo, 02 de Fev às 08:00",https://www.sympla.com.br/evento/curso-de-capacitacao-guardioes-de-sementes-tradicionais-com-thiago-luiz/2800159
Gastronomia,Workshop Café Especial para Leigos,"Artemis Torrefação - Rio de Janeiro, RJ","Sábado, 08 de Fev às 10:00",https://www.sympla.com.br/evento/workshop-cafe-especial-para-leigos/2777657
Gastronomia,"Bileyi ya Pokua  Jantar Afrikano 6ª Edição FORTALEZA, CE","Av. Domingos Olímpio, 123 - Fortaleza, CE","Sábado, 22 de Fev às 18:00",https://www.sympla.com.br/evento/bileyi-ya-pokua-jantar-afrikano-6a-edicao-fortaleza-ce/2803831
